match_id,puuid,region_id,queue_id
EUW1_7344438764,hI7-lmr2axBDMyCa7i0xsgz5lrI4D_2xqgf7MjHFckRguTIb5lGLcPUZnjsgdu3nF1vmHGOkzTNVsw,3,420
EUW1_7344411491,hI7-lmr2axBDMyCa7i0xsgz5lrI4D_2xqgf7MjHFckRguTIb5lGLcPUZnjsgdu3nF1vmHGOkzTNVsw,3,420
EUW1_7344361968,hI7-lmr2axBDMyCa7i0xsgz5lrI4D_2xqgf7MjHFckRguTIb5lGLcPUZnjsgdu3nF1vmHGOkzTNVsw,3,420
EUW1_7344273663,hI7-lmr2axBDMyCa7i0xsgz5lrI4D_2xqgf7MjHFckRguTIb5lGLcPUZnjsgdu3nF1vmHGOkzTNVsw,3,420
EUW1_7344243612,hI7-lmr2axBDMyCa7i0xsgz5lrI4D_2xqgf7MjHFckRguTIb5lGLcPUZnjsgdu3nF1vmHGOkzTNVsw,3,420
EUW1_7344151520,hI7-lmr2axBDMyCa7i0xsgz5lrI4D_2xqgf7MjHFckRguTIb5lGLcPUZnjsgdu3nF1vmHGOkzTNVsw,3,420
EUW1_7343784176,hI7-lmr2axBDMyCa7i0xsgz5lrI4D_2xqgf7MjHFckRguTIb5lGLcPUZnjsgdu3nF1vmHGOkzTNVsw,3,420
EUW1_7343670315,hI7-lmr2axBDMyCa7i0xsgz5lrI4D_2xqgf7MjHFckRguTIb5lGLcPUZnjsgdu3nF1vmHGOkzTNVsw,3,420
EUW1_7343614864,hI7-lmr2axBDMyCa7i0xsgz5lrI4D_2xqgf7MjHFckRguTIb5lGLcPUZnjsgdu3nF1vmHGOkzTNVsw,3,420
EUW1_7341783685,hI7-lmr2axBDMyCa7i0xsgz5lrI4D_2xqgf7MjHFckRguTIb5lGLcPUZnjsgdu3nF1vmHGOkzTNVsw,3,420
EUW1_7341665456,hI7-lmr2axBDMyCa7i0xsgz5lrI4D_2xqgf7MjHFckRguTIb5lGLcPUZnjsgdu3nF1vmHGOkzTNVsw,3,420
EUW1_7341619925,hI7-lmr2axBDMyCa7i0xsgz5lrI4D_2xqgf7MjHFckRguTIb5lGLcPUZnjsgdu3nF1vmHGOkzTNVsw,3,420
EUW1_7340780931,hI7-lmr2axBDMyCa7i0xsgz5lrI4D_2xqgf7MjHFckRguTIb5lGLcPUZnjsgdu3nF1vmHGOkzTNVsw,3,420
EUW1_7340722302,hI7-lmr2axBDMyCa7i0xsgz5lrI4D_2xqgf7MjHFckRguTIb5lGLcPUZnjsgdu3nF1vmHGOkzTNVsw,3,420
EUW1_7339768300,hI7-lmr2axBDMyCa7i0xsgz5lrI4D_2xqgf7MjHFckRguTIb5lGLcPUZnjsgdu3nF1vmHGOkzTNVsw,3,420
EUW1_7400832223,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
