region,tier,division,summonerId,puuid
euw1,PLATINUM,I,BWtkghP2qsbEvW3I1tRld_BaCsHGV9vqGpMGdc6AjlHN6l_k,E6N82-Vc6anXyhyKa8Vw-y__s7cb3FSzI7wIenYWrclVsF6qVKxdFnlAZdfCd0vCIfI1K5gAbWY7Pg
euw1,PLATINUM,I,F2aT0q-iY66IRUVOrJi2XpfW3vxQbGrgfWxpkS3p_AaZPRA5,SZm-cE-kwS725u5kVzDGjFAapvuCpb6H7hWu8ZhrqUAwgFrkKr2LyCY5p2ETn_k2St9b2dTrZFRgMg
euw1,PLATINUM,I,AzuxBq2hAbWA1WbOHi9D3Tmi9DRMNHWROSeFvZ02kuSov9C5,K09c4yS4CzejTowbiIPYjIIbefOiLmxeQqYNm2BHAxr34xjeOod56h67AX99PQmzBR4uOKJatuyzow
euw1,PLATINUM,I,Br5tGFRM9cBnxEGztglm1yczhJIRICy57E0k7yvnOA7gIoRC,yBGWjPXcADmNzJJWbBdhSsRTi7SVRaUS-EY9Azud8kVs2xrJMEU1KmC4WotaXwPaMGmn1MDm4tjLFw
euw1,PLATINUM,I,AJGIF5sALRsggCNs0AiHWQBtrgaUIm1wpwJv-wCwMh1RU7ZK,SBPMohU8aewjoh3DRr99pftnObGeApnB4UsPbADueOuZoACD1-CltowOlNReGdIeRiVNRu8K-nliBA
euw1,PLATINUM,I,MpdQvVthsOBSowOJVUgwLiP2PLUD1qZVUKDF7IozuffHxdf3,AtCTilTxvVPQ_L_x1lYEX_mBo8E_WZwY7njddnHHQIpjEfiSkUx8WYS6jYKez7BqCu5nT_9Lq7l6hQ
euw1,PLATINUM,I,axaWYZwGC0rhrmS8TIHLfa73QEHy77BjGPNtLM43cHHPK5C9,XD1SN9eLx_6oPNsgSU4aptKHD3m9KQG_zq9cw7INpoRX9YOisbVV4fD69num5xkbVFFev1qrFfeR9A
euw1,PLATINUM,I,0VqRsgif0rvaeV0tL93HiuyJqDCpy9wxVcSsx1ch_MKS5Bkm,1ZJa9hoxXQABmQlnrx6WU_EgdtqYHHVAiQFFeaJZrzZGFvymBtOQU_9d7c2JIXmyAlkFOlrQI-gfoQ
euw1,PLATINUM,I,w4Z_-4_Vy1aLp-CiSNtTbvfEt83r_7iJ0Txmf2GiRDOcgzcU,0mGK-AMXuB_XCiTDIs9v-DCTYmP7L22DKm5ZZCfAtGKYICm1wxt3h0w0Mk1-XkX4X5HTPS5XvqcNhQ
euw1,PLATINUM,I,YmBHxmmqHLrmaESXwo9aYhnIVn3GmAnYjZByb5wTIHeIvGG0,GQacPdBSPxKxv-tFrIhUyBe8FLzHDObhPdlS5VdWbmOwoBJXeo71z8a6f8Go4Nbhf8hoD0RL66sl3g
