champion_id,region,tier,games_played,wins,avg_kda,avg_damage_dealt,avg_gold_earned,avg_cs,avg_vision_score,win_rate,pick_rate,ban_rate
875,na1,EMERALD,21,16,1.97,28610.38,13708.05,211.95,20.62,0.7619,0.0186,0.0247
875,na1,GOLD,12,5,1.66,34587.17,13491.25,197.67,22.5,0.4167,0.0114,0.0514
875,na1,PLATINUM,9,3,1.54,21633.0,9695.0,145.67,13.89,0.3333,0.008,0.0633
876,eun1,DIAMOND,2,0,1.5,20230.0,11303.5,210.5,24.5,0.0,0.0017,0.0348
876,eun1,GOLD,3,1,3.55,43264.67,13427.0,194.33,32.0,0.3333,0.0028,0.041
876,eun1,PLATINUM,3,3,3.17,16461.67,13150.0,213.0,26.33,1.0,0.0026,0.062
876,euw1,DIAMOND,2,1,1.23,14326.5,9100.0,144.5,19.0,0.5,0.0017,0.0287
876,euw1,GOLD,3,1,1.5,23758.0,12056.33,169.0,20.0,0.3333,0.0027,0.0577
876,euw1,PLATINUM,3,0,2.42,38558.67,13713.0,208.0,14.67,0.0,0.0026,0.0567
876,kr,DIAMOND,21,11,4.89,11519.1,8341.14,141.43,20.71,0.5238,0.0182,0.0408
876,kr,EMERALD,10,2,3.27,14978.7,8977.9,141.2,22.3,0.2,0.009,0.067
876,kr,GOLD,16,11,8.37,27368.31,13122.63,201.88,19.44,0.6875,0.0148,0.0582
876,kr,PLATINUM,8,3,4.96,23051.38,12626.0,204.88,21.88,0.375,0.0071,0.0644
876,na1,DIAMOND,3,1,,5897.0,5919.67,100.67,11.0,0.3333,0.0026,0.0606
876,na1,GOLD,6,2,2.77,30261.67,13457.83,198.33,25.5,0.3333,0.0057,0.0895
887,eun1,DIAMOND,1,1,3.2,18308.0,11375.0,199.0,17.0,1.0,0.0009,0.2167
887,eun1,EMERALD,2,1,3.5,17163.0,10562.0,173.5,9.5,0.5,0.0017,0.1617
887,eun1,PLATINUM,2,0,1.17,11962.5,8084.0,120.0,19.0,0.0,0.0017,0.083
887,euw1,DIAMOND,3,1,2.84,26488.0,13929.33,221.0,16.0,0.3333,0.0026,0.1894
887,euw1,EMERALD,1,0,1.91,65998.0,20715.0,329.0,33.0,0.0,0.0009,0.1688
887,euw1,GOLD,5,0,0.55,11670.4,7119.2,124.8,10.6,0.0,0.0044,0.127
887,euw1,PLATINUM,3,2,4.42,15653.33,9629.33,159.67,15.67,0.6667,0.0026,0.1291
887,kr,DIAMOND,2,0,0.79,16799.5,10123.0,178.0,25.0,0.0,0.0017,0.0998
